name,katakana,address,ido,keido,wbgt_time_json
宗谷岬,ソウヤミサキ,稚内市宗谷岬,45.51672222,141.9333611,"{""time"": [""12/06/00:00"", ""12/06/01:00"", ""12/06/02:00"", ""12/06/03:00"", ""12/06/04:00"", ""12/06/05:00"", ""12/06/06:00"", ""12/06/07:00"", ""12/06/08:00"", ""12/06/09:00"", ""12/06/10:00"", ""12/06/11:00"", ""12/06/12:00"", ""12/06/13:00"", ""12/06/14:00"", ""12/06/15:00"", ""12/06/16:00"", ""12/06/17:00"", ""12/06/18:00"", ""12/06/19:00"", ""12/06/20:00"", ""12/06/21:00"", ""12/06/22:00"", ""12/06/23:00"", ""12/07/00:00"", ""12/07/01:00"", ""12/07/02:00"", ""12/07/03:00"", ""12/07/04:00"", ""12/07/05:00"", ""12/07/06:00"", ""12/07/07:00"", ""12/07/08:00"", ""12/07/09:00"", ""12/07/10:00"", ""12/07/11:00"", ""12/07/12:00"", ""12/07/13:00"", ""12/07/14:00"", ""12/07/15:00"", ""12/07/16:00"", ""12/07/17:00"", ""12/07/18:00"", ""12/07/19:00"", ""12/07/20:00"", ""12/07/21:00"", ""12/07/22:00"", ""12/07/23:00""], ""wbgt"": [-3.405, -3.201, -3.078, -3.016, -3.109, -3.003, -2.937, -2.88, -2.408, -1.666, -1.124, -0.61, -0.482, -0.555, -0.882, -1.194, -1.401, -0.844, -0.74, -0.788, -0.709, -0.663, -0.753, -1.067, -1.309, -1.309, -1.37, -1.517, -1.74, -2.46, -2.641, -2.751, -2.581, -1.783, -1.212, -1.646, -1.659, -2.142, -2.266, -2.525, -2.961, -3.089, -3.007, -2.925, -2.832, -2.892, -2.87, -2.829]}"
稚内,ワッカナイ,稚内市開運　稚内地方気象台,45.40025,141.6668611,"{""time"": [""12/07/00:00"", ""12/07/01:00"", ""12/07/02:00"", ""12/07/03:00"", ""12/07/04:00"", ""12/07/05:00"", ""12/07/06:00"", ""12/07/07:00"", ""12/07/08:00"", ""12/07/09:00"", ""12/07/10:00"", ""12/07/11:00"", ""12/07/12:00"", ""12/07/13:00"", ""12/07/14:00"", ""12/07/15:00"", ""12/07/16:00"", ""12/07/17:00"", ""12/07/18:00"", ""12/07/19:00"", ""12/07/20:00"", ""12/07/21:00"", ""12/07/22:00"", ""12/07/23:00"", ""12/08/00:00"", ""12/08/01:00"", ""12/08/02:00"", ""12/08/03:00"", ""12/08/04:00"", ""12/08/05:00"", ""12/08/06:00"", ""12/08/07:00"", ""12/08/08:00"", ""12/08/09:00"", ""12/08/10:00"", ""12/08/11:00"", ""12/08/12:00"", ""12/08/13:00"", ""12/08/14:00"", ""12/08/15:00"", ""12/08/16:00"", ""12/08/17:00"", ""12/08/18:00"", ""12/08/19:00"", ""12/08/20:00"", ""12/08/21:00"", ""12/08/22:00"", ""12/08/23:00""], ""wbgt"": [-1.479, -1.586, -1.821, -1.977, -2.315, -2.656, -2.728, -2.768, -2.612, -2.091, -1.249, -0.498, -0.754, -1.118, -1.724, -2.289, -2.824, -2.929, -2.898, -2.829, -2.609, -2.628, -2.563, -2.568, -2.611, -2.6, -2.745, -2.955, -3.161, -3.349, -3.588, -3.82, -3.84, -3.379, -3.847, -3.717, -3.686, -3.681, -3.897, -4.265, -4.868, -5.04, -4.962, -4.875, -4.758, -4.629, -4.461, -4.349]}"
礼文,レブン,礼文郡礼文町大字香深村トンナイ,45.30008333,141.0335278,"{""time"": [""12/07/00:00"", ""12/07/01:00"", ""12/07/02:00"", ""12/07/03:00"", ""12/07/04:00"", ""12/07/05:00"", ""12/07/06:00"", ""12/07/07:00"", ""12/07/08:00"", ""12/07/09:00"", ""12/07/10:00"", ""12/07/11:00"", ""12/07/12:00"", ""12/07/13:00"", ""12/07/14:00"", ""12/07/15:00"", ""12/07/16:00"", ""12/07/17:00"", ""12/07/18:00"", ""12/07/19:00"", ""12/07/20:00"", ""12/07/21:00"", ""12/07/22:00"", ""12/07/23:00"", ""12/08/00:00"", ""12/08/01:00"", ""12/08/02:00"", ""12/08/03:00"", ""12/08/04:00"", ""12/08/05:00"", ""12/08/06:00"", ""12/08/07:00"", ""12/08/08:00"", ""12/08/09:00"", ""12/08/10:00"", ""12/08/11:00"", ""12/08/12:00"", ""12/08/13:00"", ""12/08/14:00"", ""12/08/15:00"", ""12/08/16:00"", ""12/08/17:00"", ""12/08/18:00"", ""12/08/19:00"", ""12/08/20:00"", ""12/08/21:00"", ""12/08/22:00"", ""12/08/23:00""], ""wbgt"": [-5.077, -5.324, -5.54, -5.769, -6.125, -6.391, -6.388, -6.533, -6.207, -5.399, -4.549, -4.196, -4.217, -4.745, -5.414, -5.943, -6.47, -6.571, -6.614, -6.366, -6.276, -6.197, -6.166, -6.16, -6.248, -6.23, -6.368, -6.63, -6.849, -7.048, -7.219, -7.535, -7.604, -7.064, -7.416, -7.182, -7.099, -7.252, -7.438, -8.01, -8.77, -8.837, -8.753, -8.648, -8.542, -8.454, -8.301, -8.146]}"
声問,コエトイ,稚内市大字声問村字声問　稚内航空気象観測所,45.40005556,141.8000278,"{""time"": [""12/06/00:00"", ""12/06/01:00"", ""12/06/02:00"", ""12/06/03:00"", ""12/06/04:00"", ""12/06/05:00"", ""12/06/06:00"", ""12/06/07:00"", ""12/06/08:00"", ""12/06/09:00"", ""12/06/10:00"", ""12/06/11:00"", ""12/06/12:00"", ""12/06/13:00"", ""12/06/14:00"", ""12/06/15:00"", ""12/06/16:00"", ""12/06/17:00"", ""12/06/18:00"", ""12/06/19:00"", ""12/06/20:00"", ""12/06/21:00"", ""12/06/22:00"", ""12/06/23:00"", ""12/07/00:00"", ""12/07/01:00"", ""12/07/02:00"", ""12/07/03:00"", ""12/07/04:00"", ""12/07/05:00"", ""12/07/06:00"", ""12/07/07:00"", ""12/07/08:00"", ""12/07/09:00"", ""12/07/10:00"", ""12/07/11:00"", ""12/07/12:00"", ""12/07/13:00"", ""12/07/14:00"", ""12/07/15:00"", ""12/07/16:00"", ""12/07/17:00"", ""12/07/18:00"", ""12/07/19:00"", ""12/07/20:00"", ""12/07/21:00"", ""12/07/22:00"", ""12/07/23:00""], ""wbgt"": [-3.441, -3.243, -3.123, -3.053, -3.054, -3.076, -2.978, -2.826, -2.43, -1.583, -1.068, -0.597, -0.357, -0.487, -0.741, -1.119, -1.348, -0.813, -0.683, -0.773, -0.61, -0.613, -0.742, -1.048, -1.295, -1.298, -1.363, -1.499, -1.753, -2.522, -2.702, -2.807, -2.517, -1.792, -1.036, -1.431, -1.598, -1.933, -2.23, -2.549, -2.912, -3.014, -2.932, -2.843, -2.79, -2.82, -2.798, -2.869]}"
浜鬼志別,ハマオニシベツ,宗谷郡猿払村浜鬼志別,45.33336111,142.1667222,"{""time"": [""12/07/00:00"", ""12/07/01:00"", ""12/07/02:00"", ""12/07/03:00"", ""12/07/04:00"", ""12/07/05:00"", ""12/07/06:00"", ""12/07/07:00"", ""12/07/08:00"", ""12/07/09:00"", ""12/07/10:00"", ""12/07/11:00"", ""12/07/12:00"", ""12/07/13:00"", ""12/07/14:00"", ""12/07/15:00"", ""12/07/16:00"", ""12/07/17:00"", ""12/07/18:00"", ""12/07/19:00"", ""12/07/20:00"", ""12/07/21:00"", ""12/07/22:00"", ""12/07/23:00"", ""12/08/00:00"", ""12/08/01:00"", ""12/08/02:00"", ""12/08/03:00"", ""12/08/04:00"", ""12/08/05:00"", ""12/08/06:00"", ""12/08/07:00"", ""12/08/08:00"", ""12/08/09:00"", ""12/08/10:00"", ""12/08/11:00"", ""12/08/12:00"", ""12/08/13:00"", ""12/08/14:00"", ""12/08/15:00"", ""12/08/16:00"", ""12/08/17:00"", ""12/08/18:00"", ""12/08/19:00"", ""12/08/20:00"", ""12/08/21:00"", ""12/08/22:00"", ""12/08/23:00""], ""wbgt"": [-3.414, -3.512, -3.24, -2.858, -3.071, -3.29, -3.837, -4.213, -3.702, -2.892, -2.518, -1.788, -1.281, -1.207, -2.08, -2.909, -3.747, -4.058, -4.232, -4.291, -4.361, -4.326, -4.268, -4.355, -4.646, -4.824, -4.943, -4.854, -4.661, -4.913, -5.148, -5.51, -5.235, -4.127, -4.407, -4.163, -4.247, -4.615, -5.011, -5.557, -6.64, -7.335, -8.063, -8.177, -8.198, -8.015, -7.666, -9.21]}"
本泊,モトドマリ,利尻郡利尻富士町鴛泊字本泊　利尻航空気象観測所,45.23347222,141.1833889,"{""time"": [""12/06/00:00"", ""12/06/01:00"", ""12/06/02:00"", ""12/06/03:00"", ""12/06/04:00"", ""12/06/05:00"", ""12/06/06:00"", ""12/06/07:00"", ""12/06/08:00"", ""12/06/09:00"", ""12/06/10:00"", ""12/06/11:00"", ""12/06/12:00"", ""12/06/13:00"", ""12/06/14:00"", ""12/06/15:00"", ""12/06/16:00"", ""12/06/17:00"", ""12/06/18:00"", ""12/06/19:00"", ""12/06/20:00"", ""12/06/21:00"", ""12/06/22:00"", ""12/06/23:00"", ""12/07/00:00"", ""12/07/01:00"", ""12/07/02:00"", ""12/07/03:00"", ""12/07/04:00"", ""12/07/05:00"", ""12/07/06:00"", ""12/07/07:00"", ""12/07/08:00"", ""12/07/09:00"", ""12/07/10:00"", ""12/07/11:00"", ""12/07/12:00"", ""12/07/13:00"", ""12/07/14:00"", ""12/07/15:00"", ""12/07/16:00"", ""12/07/17:00"", ""12/07/18:00"", ""12/07/19:00"", ""12/07/20:00"", ""12/07/21:00"", ""12/07/22:00"", ""12/07/23:00""], ""wbgt"": [-4.152, -4.02, -3.926, -3.935, -3.954, -3.839, -3.774, -3.52, -3.21, -2.691, -2.216, -1.864, -1.726, -1.777, -1.84, -1.95, -1.62, -1.416, -1.56, -1.478, -1.405, -1.392, -1.612, -1.985, -2.019, -2.15, -2.21, -2.413, -3.064, -3.469, -3.611, -3.44, -2.891, -2.371, -2.105, -2.536, -2.629, -3.03, -3.197, -3.48, -3.697, -3.679, -3.629, -3.537, -3.465, -3.549, -3.571, -3.67]}"
沼川,ヌマカワ,稚内市声問村沼川,45.23358333,141.8500278,"{""time"": [""12/07/00:00"", ""12/07/01:00"", ""12/07/02:00"", ""12/07/03:00"", ""12/07/04:00"", ""12/07/05:00"", ""12/07/06:00"", ""12/07/07:00"", ""12/07/08:00"", ""12/07/09:00"", ""12/07/10:00"", ""12/07/11:00"", ""12/07/12:00"", ""12/07/13:00"", ""12/07/14:00"", ""12/07/15:00"", ""12/07/16:00"", ""12/07/17:00"", ""12/07/18:00"", ""12/07/19:00"", ""12/07/20:00"", ""12/07/21:00"", ""12/07/22:00"", ""12/07/23:00"", ""12/08/00:00"", ""12/08/01:00"", ""12/08/02:00"", ""12/08/03:00"", ""12/08/04:00"", ""12/08/05:00"", ""12/08/06:00"", ""12/08/07:00"", ""12/08/08:00"", ""12/08/09:00"", ""12/08/10:00"", ""12/08/11:00"", ""12/08/12:00"", ""12/08/13:00"", ""12/08/14:00"", ""12/08/15:00"", ""12/08/16:00"", ""12/08/17:00"", ""12/08/18:00"", ""12/08/19:00"", ""12/08/20:00"", ""12/08/21:00"", ""12/08/22:00"", ""12/08/23:00""], ""wbgt"": [-1.211, -1.143, -1.462, -1.696, -1.918, -2.263, -2.465, -2.538, -2.371, -1.745, -0.82, -0.072, -0.023, -0.442, -1.166, -1.971, -2.581, -2.718, -2.763, -2.593, -2.401, -2.376, -2.45, -2.434, -2.537, -2.509, -2.58, -2.758, -2.964, -3.131, -3.38, -3.518, -3.538, -2.976, -3.432, -3.22, -3.148, -3.283, -3.597, -4.155, -4.833, -4.902, -4.914, -4.799, -4.802, -4.684, -4.448, -4.232]}"
沓形,クツガタ,利尻郡利尻町沓形泉町,45.16686111,141.1334167,"{""time"": [""12/07/00:00"", ""12/07/01:00"", ""12/07/02:00"", ""12/07/03:00"", ""12/07/04:00"", ""12/07/05:00"", ""12/07/06:00"", ""12/07/07:00"", ""12/07/08:00"", ""12/07/09:00"", ""12/07/10:00"", ""12/07/11:00"", ""12/07/12:00"", ""12/07/13:00"", ""12/07/14:00"", ""12/07/15:00"", ""12/07/16:00"", ""12/07/17:00"", ""12/07/18:00"", ""12/07/19:00"", ""12/07/20:00"", ""12/07/21:00"", ""12/07/22:00"", ""12/07/23:00"", ""12/08/00:00"", ""12/08/01:00"", ""12/08/02:00"", ""12/08/03:00"", ""12/08/04:00"", ""12/08/05:00"", ""12/08/06:00"", ""12/08/07:00"", ""12/08/08:00"", ""12/08/09:00"", ""12/08/10:00"", ""12/08/11:00"", ""12/08/12:00"", ""12/08/13:00"", ""12/08/14:00"", ""12/08/15:00"", ""12/08/16:00"", ""12/08/17:00"", ""12/08/18:00"", ""12/08/19:00"", ""12/08/20:00"", ""12/08/21:00"", ""12/08/22:00"", ""12/08/23:00""], ""wbgt"": [-2.525, -2.572, -2.543, -2.627, -2.853, -3.24, -3.829, -3.879, -3.565, -3.091, -2.101, -1.243, -0.909, -1.169, -2.226, -2.954, -3.676, -3.915, -3.971, -3.823, -3.714, -3.637, -3.728, -3.752, -3.725, -3.857, -3.854, -3.932, -4.224, -4.515, -4.801, -5.14, -4.904, -4.295, -4.387, -3.992, -3.93, -4.309, -4.822, -5.552, -6.402, -6.655, -6.933, -6.984, -7.07, -7.166, -7.023, -6.776]}"
豊富,トヨトミ,天塩郡豊富町豊富東2条,45.10002778,141.7668889,"{""time"": [""12/07/00:00"", ""12/07/01:00"", ""12/07/02:00"", ""12/07/03:00"", ""12/07/04:00"", ""12/07/05:00"", ""12/07/06:00"", ""12/07/07:00"", ""12/07/08:00"", ""12/07/09:00"", ""12/07/10:00"", ""12/07/11:00"", ""12/07/12:00"", ""12/07/13:00"", ""12/07/14:00"", ""12/07/15:00"", ""12/07/16:00"", ""12/07/17:00"", ""12/07/18:00"", ""12/07/19:00"", ""12/07/20:00"", ""12/07/21:00"", ""12/07/22:00"", ""12/07/23:00"", ""12/08/00:00"", ""12/08/01:00"", ""12/08/02:00"", ""12/08/03:00"", ""12/08/04:00"", ""12/08/05:00"", ""12/08/06:00"", ""12/08/07:00"", ""12/08/08:00"", ""12/08/09:00"", ""12/08/10:00"", ""12/08/11:00"", ""12/08/12:00"", ""12/08/13:00"", ""12/08/14:00"", ""12/08/15:00"", ""12/08/16:00"", ""12/08/17:00"", ""12/08/18:00"", ""12/08/19:00"", ""12/08/20:00"", ""12/08/21:00"", ""12/08/22:00"", ""12/08/23:00""], ""wbgt"": [-1.868, -2.043, -2.228, -2.57, -2.85, -2.84, -2.798, -3.141, -2.933, -2.436, -1.544, -1.225, -0.873, -1.387, -2.13, -2.369, -3.119, -3.372, -3.419, -3.183, -2.932, -2.952, -2.759, -2.725, -2.836, -3.082, -3.305, -3.523, -3.73, -3.851, -4.056, -4.202, -4.069, -3.596, -4.507, -4.261, -4.006, -4.043, -4.299, -4.772, -5.338, -5.363, -5.288, -5.196, -5.106, -4.951, -4.703, -4.404]}"
浜頓別,ハマトンベツ,枝幸郡浜頓別町クッチャロ湖畔,45.11680556,142.35,"{""time"": [""12/06/00:00"", ""12/06/01:00"", ""12/06/02:00"", ""12/06/03:00"", ""12/06/04:00"", ""12/06/05:00"", ""12/06/06:00"", ""12/06/07:00"", ""12/06/08:00"", ""12/06/09:00"", ""12/06/10:00"", ""12/06/11:00"", ""12/06/12:00"", ""12/06/13:00"", ""12/06/14:00"", ""12/06/15:00"", ""12/06/16:00"", ""12/06/17:00"", ""12/06/18:00"", ""12/06/19:00"", ""12/06/20:00"", ""12/06/21:00"", ""12/06/22:00"", ""12/06/23:00"", ""12/07/00:00"", ""12/07/01:00"", ""12/07/02:00"", ""12/07/03:00"", ""12/07/04:00"", ""12/07/05:00"", ""12/07/06:00"", ""12/07/07:00"", ""12/07/08:00"", ""12/07/09:00"", ""12/07/10:00"", ""12/07/11:00"", ""12/07/12:00"", ""12/07/13:00"", ""12/07/14:00"", ""12/07/15:00"", ""12/07/16:00"", ""12/07/17:00"", ""12/07/18:00"", ""12/07/19:00"", ""12/07/20:00"", ""12/07/21:00"", ""12/07/22:00"", ""12/07/23:00""], ""wbgt"": [-4.081, -3.803, -3.577, -3.383, -3.293, -3.193, -3.223, -3.147, -2.881, -2.286, -1.686, -1.487, -1.546, -1.572, -1.563, -1.757, -2.058, -1.88, -1.612, -1.303, -1.407, -1.313, -1.315, -1.385, -1.506, -1.639, -1.815, -1.965, -2.117, -2.64, -2.84, -2.854, -2.913, -2.486, -1.674, -1.429, -1.086, -2.348, -3.15, -3.375, -3.788, -3.791, -3.796, -3.736, -3.527, -3.488, -3.562, -3.847]}"
